RoundNumber,DateUtc,Location,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore
17,21/12/2024 12:30,Villa Park,Aston Villa,Man City,2,1
17,21/12/2024 15:00,Gtech Community Stadium,Brentford,Nott'm Forest,0,2
17,21/12/2024 15:00,Portman Road,Ipswich,Newcastle,0,4
17,21/12/2024 15:00,London Stadium,West Ham,Brighton,1,1
17,21/12/2024 17:30,Selhurst Park,Crystal Palace,Arsenal,1,5
17,22/12/2024 14:00,Goodison Park,Everton,Chelsea,0,0
17,22/12/2024 14:00,Craven Cottage,Fulham,Southampton,0,0
17,22/12/2024 14:00,King Power Stadium,Leicester,Wolves,0,3
17,22/12/2024 14:00,Old Trafford,Man Utd,Bournemouth,0,3
17,22/12/2024 16:30,Tottenham Hotspur Stadium,Spurs,Liverpool,3,6
