Date,Home Team,Away Team,Kick-off Time
Wednesday 23 April 2025,Arsenal,Crystal Palace,21:00
Saturday 26 April 2025,Chelsea,Everton,14:30
Saturday 26 April 2025,Brighton,West Ham,17:00
Saturday 26 April 2025,Newcastle,Ipswich,17:00
Saturday 26 April 2025,Southampton,Fulham,17:00
Saturday 26 April 2025,Wolves,Leicester,17:00
Sunday 27 April 2025,Bournemouth,Man Utd,16:00
Sunday 27 April 2025,Liverpool,Spurs,18:30
Thursday 1 May 2025,Nott'm Forest,Brentford,21:30
Friday 2 May 2025,Man City,Wolves,22:00
Saturday 3 May 2025,Aston Villa,Fulham,14:30
Saturday 3 May 2025,Everton,Ipswich,17:00
Saturday 3 May 2025,Leicester,Southampton,17:00
Saturday 3 May 2025,Arsenal,Bournemouth,19:30
Sunday 4 May 2025,Brentford,Man Utd,16:00
Sunday 4 May 2025,Brighton,Newcastle,16:00
Sunday 4 May 2025,West Ham,Spurs,16:00
Sunday 4 May 2025,Chelsea,Liverpool,18:30
Monday 5 May 2025,Crystal Palace,Nott'm Forest,22:00
Saturday 10 May 2025,Fulham,Everton,17:00
Saturday 10 May 2025,Ipswich,Brentford,17:00
Saturday 10 May 2025,Southampton,Man City,17:00
Saturday 10 May 2025,Wolves,Brighton,17:00
Saturday 10 May 2025,Bournemouth,Aston Villa,19:30
Sunday 11 May 2025,Newcastle,Chelsea,14:00
Sunday 11 May 2025,Man Utd,West Ham,16:15
Sunday 11 May 2025,Nott'm Forest,Leicester,16:15
Sunday 11 May 2025,Spurs,Crystal Palace,16:15
Sunday 11 May 2025,Liverpool,Arsenal,18:30
Friday 16 May 2025,Chelsea,Man Utd,22:00
Sunday 18 May 2025,Everton,Southampton,14:00
Sunday 18 May 2025,Aston Villa,Spurs,16:15
Sunday 18 May 2025,West Ham,Nott'm Forest,16:15
Sunday 18 May 2025,Brentford,Fulham,17:00
Sunday 18 May 2025,Crystal Palace,Wolves,17:00
Sunday 18 May 2025,Leicester,Ipswich,17:00
Sunday 18 May 2025,Arsenal,Newcastle,18:30
Sunday 18 May 2025,Man City,Bournemouth,21:00
Monday 19 May 2025,Brighton,Liverpool,22:00
Sunday 25 May 2025,Bournemouth,Leicester,18:00
Sunday 25 May 2025,Fulham,Man City,18:00
Sunday 25 May 2025,Ipswich,West Ham,18:00
Sunday 25 May 2025,Liverpool,Crystal Palace,18:00
Sunday 25 May 2025,Man Utd,Aston Villa,18:00
Sunday 25 May 2025,Newcastle,Everton,18:00
Sunday 25 May 2025,Nott'm Forest,Chelsea,18:00
Sunday 25 May 2025,Southampton,Arsenal,18:00
Sunday 25 May 2025,Spurs,Brighton,18:00
Sunday 25 May 2025,Wolves,Brentford,18:00
