RK,Name,Team,Appearances,Goals
1,Mohamed Salah,Liverpool,34,28
2,Alexander Isak,Newcastle United,31,22
3,Erling Haaland,Manchester City,28,21
4,Chris Wood,Nottingham Forest,31,19
5,Bryan Mbeumo,Brentford,33,18
6,Yoane Wissa,Brentford,30,16
7,Ollie Watkins,Aston Villa,34,15
7,Matheus Cunha,Wolverhampton Wanderers,29,15
9,Cole Palmer,Chelsea,33,14
9,Jean-Philippe Mateta,Crystal Palace,33,14
11,Jørgen Strand Larsen,Wolverhampton Wanderers,32,13
12,Liam Delap,Ipswich Town,33,12
12,Luis Díaz,Liverpool,33,12
12,Justin Kluivert,AFC Bournemouth,30,12
15,Brennan Johnson,Tottenham Hotspur,31,11
16,Raúl Jiménez,Fulham,34,10
16,Nicolas Jackson,Chelsea,28,10
16,João Pedro,Brighton & Hove Albion,27,10
19,Alex Iwobi,Fulham,34,9
19,Antoine Semenyo,AFC Bournemouth,33,9
19,Kaoru Mitoma,Brighton & Hove Albion,33,9
19,James Maddison,Tottenham Hotspur,31,9
19,Cody Gakpo,Liverpool,31,9
19,Jarrod Bowen,West Ham United,30,9
19,Harvey Barnes,Newcastle United,29,9
19,Evanilson,AFC Bournemouth,27,9
19,Danny Welbeck,Brighton & Hove Albion,27,9
19,Kai Havertz,Arsenal,21,9
29,Leandro Trossard,Arsenal,34,8
29,Bruno Fernandes,Manchester United,33,8
29,Morgan Rogers,Aston Villa,33,8
29,Tomás Soucek,West Ham United,31,8
29,Jacob Murphy,Newcastle United,31,8
29,Rodrigo Muniz,Fulham,31,8
29,Dominic Solanke,Tottenham Hotspur,25,8
36,Ismaïla Sarr,Crystal Palace,34,7
36,Kevin Schade,Brentford,33,7
36,Jamie Vardy,Leicester City,32,7
36,Dango Ouattara,AFC Bournemouth,31,7
36,Dejan Kulusevski,Tottenham Hotspur,30,7
36,Iliman Ndiaye,Everton,29,7
36,Gabriel Martinelli,Arsenal,29,7
36,Son Heung-Min,Tottenham Hotspur,28,7
36,Noni Madueke,Chelsea,28,7
36,Phil Foden,Manchester City,25,7
36,Jhon Durán,Aston Villa,20,7
47,Anthony Elanga,Nottingham Forest,33,6
47,Anthony Gordon,Newcastle United,30,6
47,Emile Smith Rowe,Fulham,30,6
47,Mateo Kovacic,Manchester City,28,6
